ProductID,ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued
54.00,Tourtière,25.00,6.00,16 pies,7.45,21.00,0.00,10.00,0.00
55.00,Pâté chinois,25.00,6.00,24 boxes x 2 pies,24.00,115.00,0.00,20.00,0.00
56.00,Gnocchi di nonna Alice,26.00,5.00,24 - 250 g pkgs.,38.00,21.00,10.00,30.00,0.00
57.00,Ravioli Angelo,26.00,5.00,24 - 250 g pkgs.,19.50,36.00,0.00,20.00,0.00
58.00,Escargots de Bourgogne,27.00,8.00,24 pieces,13.25,62.00,0.00,20.00,0.00
59.00,Raclette Courdavault,28.00,4.00,5 kg pkg.,55.00,79.00,0.00,0.00,0.00
60.00,Camembert Pierrot,28.00,4.00,15 - 300 g rounds,34.00,19.00,0.00,0.00,0.00
61.00,Sirop d'érable,29.00,2.00,24 - 500 ml bottles,28.50,113.00,0.00,25.00,0.00
62.00,Tarte au sucre,29.00,3.00,48 pies,49.30,17.00,0.00,0.00,0.00
63.00,Vegie-spread,7.00,2.00,15 - 625 g jars,43.90,24.00,0.00,5.00,0.00
64.00,Wimmers gute Semmelknödel,12.00,5.00,20 bags x 4 pieces,33.25,22.00,80.00,30.00,0.00
65.00,Louisiana Fiery Hot Pepper Sauce,2.00,2.00,32 - 8 oz bottles,21.05,76.00,0.00,0.00,0.00
66.00,Louisiana Hot Spiced Okra,2.00,2.00,24 - 8 oz jars,17.00,4.00,100.00,20.00,0.00
67.00,Laughing Lumberjack Lager,16.00,1.00,24 - 12 oz bottles,14.00,52.00,0.00,10.00,0.00
68.00,Scottish Longbreads,8.00,3.00,10 boxes x 8 pieces,12.50,6.00,10.00,15.00,0.00
69.00,Gudbrandsdalsost,15.00,4.00,10 kg pkg.,36.00,26.00,0.00,15.00,0.00
70.00,Outback Lager,7.00,1.00,24 - 355 ml bottles,15.00,15.00,10.00,30.00,0.00
71.00,Fløtemysost,15.00,4.00,10 - 500 g pkgs.,21.50,26.00,0.00,0.00,0.00
72.00,Mozzarella di Giovanni,14.00,4.00,24 - 200 g pkgs.,34.80,14.00,0.00,0.00,0.00
73.00,Röd Kaviar,17.00,8.00,24 - 150 g jars,15.00,101.00,0.00,5.00,0.00
74.00,Longlife Tofu,4.00,7.00,5 kg pkg.,10.00,4.00,20.00,5.00,0.00
75.00,Rhönbräu Klosterbier,12.00,1.00,24 - 0.5 l bottles,7.75,125.00,0.00,25.00,0.00
76.00,Lakkalikööri,23.00,1.00,500 ml,18.00,57.00,0.00,20.00,0.00
77.00,Original Frankfurter grüne Soße,12.00,2.00,12 boxes,13.00,32.00,0.00,15.00,0.00
